;Title;Producer;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes;Brand
71;Louis Roederer, Cristal, Champagne, France, 2002;Louis Roederer;2002;Sparkling;White;France;Champagne;;Brut;Cork;12.00%;;;;Cristal
72;Ruinart, Dom Ruinart Rosé, Champagne, France, 2002;Ruinart;2002;Sparkling;Rosé;France;Champagne;;;;12.00%;;;['Chardonnay', 'Pinot Noir / Pinot Nero'];Dom Ruinart Rosé
73;Marks & Spencer, Collection, St-Émilion, Bordeaux, France 2019;Marks & Spencer;2019;Still;Red;France;Bordeaux;St-Émilion;;;14.00%;;Unoaked;['15% Cabernet Franc', '85% Merlot'];Collection
74;Château Haut-Bailly, Pessac-Léognan, Cru Classé de Graves, Bordeaux, France 2007;Château Haut-Bailly;2007;Still;Red;France;Bordeaux;Pessac-Léognan;Dry;Natural Cork;13.00%;Full;Oaked;['4% Cabernet Franc', '70% Cabernet Sauvignon', '26% Merlot'];
75;Château Pédesclaux, Pauillac, 5ème Cru Classé, Bordeaux, France 2015;Château Pédesclaux;2015;Still;Red;France;Bordeaux;Pauillac;Dry;Natural Cork;13.45%;Full;Oaked;['52% Cabernet Sauvignon', '42% Merlot', '6% Petit Verdot'];
76;Domaine Garon, Les Rochins, Côte-Rôtie, Rhône, France 2016;Domaine Garon;2016;Still;Red;France;Rhône;Côte-Rôtie;Dry;Cork;13.00%;Medium;Oaked;['100% Syrah / Shiraz'];Les Rochins
77;Domaine Garon, Le Combard, Côte-Rôtie, Rhône, France 2019;Domaine Garon;2019;Still;Red;France;Rhône;Côte-Rôtie;Dry;Cork;14.50%;Medium;Oaked;['Syrah / Shiraz'];Le Combard
78;Domaine Garon, Les Rochins, Côte-Rôtie, Rhône, France 2003;Domaine Garon;2003;Still;Red;France;Rhône;Côte-Rôtie;Dry;Cork;12.50%;Medium;Oaked;['100% Syrah / Shiraz'];Les Rochins
79;Domaine Garon, Les Triotes, Côte-Rôtie, Rhône, France 2020;Domaine Garon;2020;Still;Red;France;Rhône;Côte-Rôtie;Dry;Cork;;Light;Oaked;['100% Syrah / Shiraz'];Les Triotes
80;Domaine Garon, Agricola, St-Joseph, Rhône, France 2020;Domaine Garon;2020;Still;Red;France;Rhône;St-Joseph;Dry;Cork;13.50%;Medium;Lightly Oaked;['100% Syrah / Shiraz'];Agricola
81;Domaine Garon, Jardin de Rome, Syrah de Seyssuel, Collines Rhodaniennes, Rhône, France 2020;Domaine Garon;2020;Still;Red;France;Rhône;Collines Rhodaniennes;Dry;Cork;13.50%;Medium;Lightly Oaked;['100% Syrah / Shiraz'];Jardin de Rome, Syrah de Seyssuel
82;Jacquesson, Avize Dégorgement Tardif Extra Brut, Champagne, France 1995;Jacquesson;1995;Sparkling;White;France;Champagne;;Brut Nature;Natural Cork;12.50%;Light;Unoaked;['100% Chardonnay'];Avize Dégorgement Tardif Extra Brut
83;Domaine Leflaive, Bienvenues-Bâtard-Montrachet Grand Cru, Burgundy, France 2004;Domaine Leflaive;2004;Still;White;France;Burgundy;Bienvenues-Bâtard-Montrachet Grand Cru;Dry;Natural Cork;13.00%;Medium;Oaked;['100% Chardonnay'];
84;Château Trotanoy, Pomerol, Bordeaux, France 1966;Château Trotanoy;1966;Still;Red;France;Bordeaux;Pomerol;Dry;Natural Cork;12.50%;Medium;Oaked;['10% Cabernet Franc', '90% Merlot'];
85;Domaine de la Romanée-Conti, Richebourg Grand Cru, Burgundy, France 2001;Domaine de la Romanée-Conti;2001;Still;Red;France;Burgundy;Richebourg Grand Cru;Dry;Natural Cork;13.50%;Medium;Oaked;['100% Pinot Noir / Pinot Nero'];
86;Château Montrose, St-Estèphe, 2ème Cru Classé, Bordeaux, France 1961;Château Montrose;1961;Still;Red;France;Bordeaux;St-Estèphe;Dry;Natural Cork;12.50%;Medium;Oaked;['65% Cabernet Sauvignon', '35% Merlot'];
87;Domaine Garon, Les Rochins, Côte-Rôtie, 2020;Domaine Garon;2020;Still;Red;France;Rhône;Côte-Rôtie;Dry;Cork;;Medium;Oaked;['100% Syrah / Shiraz'];Les Rochins
88;Brice, Heritage Rosé Brut, Champagne, France NV;Brice;;Sparkling;Rosé;France;Champagne;;Brut;Cork;12.00%;Medium;;['30% Chardonnay', '70% Pinot Noir / Pinot Nero'];Heritage Rosé Brut
89;Waitrose, Rosé, Champagne, France NV;Waitrose;;Sparkling;Rosé;France;Champagne;;Brut;Cork;12.50%;;;['100% Pinot Noir / Pinot Nero'];Rosé
90;Domaine Chanson, Beaune, 1er Cru Clos des Mouches, Burgundy, France 2017;Domaine Chanson;2017;Still;White;France;Burgundy;Beaune;;;;;;;
91;Domaine Chanson, Savigny-lès-Beaune, 1er Cru Marconnets, Burgundy, France 2018;Domaine Chanson;2018;Still;White;France;Burgundy;Savigny-lès-Beaune;Dry;Cork;14.00%;Medium;Oaked;['100% Chardonnay'];
92;Domaine Chanson, Beaune, 1er Cru Clos des Mouches, Burgundy, France 2019;Domaine Chanson;2019;Still;Red;France;Burgundy;Beaune;Dry;Cork;13.50%;Medium;Oaked;['100% Pinot Noir / Pinot Nero'];
93;Domaine Chanson, Beaune, 1er Cru Clos des Fèves, Burgundy, France 2017;Domaine Chanson;2017;Still;Red;France;Burgundy;Beaune;Dry;Cork;13.00%;Medium;Oaked;['100% Pinot Noir / Pinot Nero'];
94;Domaine Chanson, Beaune, 1er Cru Clos des Mouches, Burgundy, France 2017;Domaine Chanson;2017;Still;Red;France;Burgundy;Beaune;Dry;Cork;13.50%;Medium;Oaked;['100% Pinot Noir / Pinot Nero'];
95;Domaine Chanson, Clos des Marconnets, Beaune, 1er Cru, Burgundy, France 2017;Domaine Chanson;2017;Still;Red;France;Burgundy;Beaune;Dry;Cork;13.50%;Medium;Oaked;['100% Pinot Noir / Pinot Nero'];Clos des Marconnets
96;Domaine Chanson, Beaune, 1er Cru Grèves, Burgundy, France 2017;Domaine Chanson;2017;Still;Red;France;Burgundy;Beaune;Dry;Cork;13.50%;Medium;Oaked;['100% Pinot Noir / Pinot Nero'];
97;Domaine Chanson, Beaune, 1er Cru Clos des Mouches, Burgundy, France 2016;Domaine Chanson;2016;Still;Red;France;Burgundy;Beaune;Dry;Cork;13.50%;Medium;Oaked;['100% Pinot Noir / Pinot Nero'];
98;Château d’Esclans, Côtes de Provence, France 2021;Château d’Esclans;2021;Still;Rosé;France;Provence;Côtes de Provence;Dry;Natural Cork;13.50%;Medium;Lightly Oaked;['Grenache / Garnacha', 'Syrah / Shiraz', 'Rolle and Tibouren'];
99;Château d’Esclans, Les Clans, Côtes de Provence, France 2021;Château d’Esclans;2021;Still;Rosé;France;Provence;Côtes de Provence;Dry;Natural Cork;14.00%;Full;Oaked;['73% Grenache / Garnacha', '27% Rolle'];Les Clans
100;Château d’Esclans, Garrus, Côtes de Provence, France 2021;Château d’Esclans;2021;Still;Rosé;France;Provence;Côtes de Provence;Dry;Natural Cork;14.50%;Medium;Lightly Oaked;['59% Grenache / Garnacha', '41% Rolle'];Garrus
101;Château d’Esclans, Whispering Angel, Côtes de Provence, France 2021;Château d’Esclans;2021;Still;Rosé;France;Provence;Côtes de Provence;Dry;Natural Cork;13.00%;Medium;;['72% Grenache / Garnacha', '7% Syrah / Shiraz', '17% Rolle and Tibouren'];Whispering Angel
102;Château d’Esclans, Rock Angel, Côtes de Provence, France 2021;Château d’Esclans;2021;Still;Rosé;France;Provence;Côtes de Provence;Dry;Natural Cork;13.50%;Medium;Lightly Oaked;['Grenache / Garnacha', 'Syrah / Shiraz', 'Rolle and Tibouren'];Rock Angel
103;Alliance Loire, La Dilecta, Touraine, Loire, France 2019;Alliance Loire;2019;Still;White;France;Touraine;Touraine;Dry;Cork;13.50%;Medium;Unoaked;['Sauvignon Blanc'];La Dilecta
104;Clairmont, Domaine Defrance Notes Blanches, Crozes-Hermitage, Rhône, France 2020;Clairmont;2020;Still;White;France;Rhône;Crozes-Hermitage;Dry;Cork;14.00%;Medium;Oaked;['100% Marsanne'];Domaine Defrance Notes Blanches
105;Vinovalie, Far from the Eye, Gaillac, Southwest France, 2021;Vinovalie;2021;Still;White;France;Southwest France;Gaillac;Dry;Cork;14.50%;Medium;Unoaked;"[""100% Len de l'EI""]";Far from the Eye
106;Cave De Turckheim, Riesling Grand Cru Brand, Alsace, France 2018;Cave De Turckheim;2018;Still;White;France;Alsace;Grand Cru Brand;Dry;Cork;13.00%;Medium;Unoaked;['100% Riesling'];Riesling Grand Cru Brand
107;Cave d'Aleria, L'Eterna, Corsica, France 2021;Cave d'Aleria;2021;Still;White;France;Corsica;;Dry;Cork;12.00%;Medium;Unoaked;['Vermentino'];L'Eterna
108;Estandon, Légende, Côtes de Provence, France 2019;Estandon;2019;Still;Rosé;France;Provence;;;;;;;;Légende
109;Cellier des Princes, Châteauneuf-du-Pape, Rhône, France 2021;Cellier des Princes;2021;Still;Red;France;Rhône;Châteauneuf-du-Pape;Dry;Cork;14.50%;Full;Unoaked;['5% Mourvèdre', '5% Syrah / Shiraz', '90% Grenache'];
110;Union de Producteurs de Saint-Émilion, Château Tour de Yon, St-Émilion (Grand Cru), Bordeaux, France 2019;Union de Producteurs de Saint-Emilion;2019;Still;Red;France;Bordeaux;St-Émilion;Dry;Cork;13.50%;Full;Oaked;['25% Cabernet Franc', '75% Merlot'];Château Tour de Yon
111;Cave de Tain, Terre d'Ivoire, St-Joseph, Rhône, France 2020;Cave de Tain;2020;Still;White;France;Rhône;St-Joseph;Dry;Cork;13.50%;Medium;Oaked;['100% Marsanne'];Terre d'Ivoire
112;Château Haut Gléon, Blanc, Corbieres, Languedoc-Roussillon, France 2019;Château Haut Gléon;2019;Still;White;France;Languedoc-Roussillon;Corbieres;Dry;Cork;13.50%;Medium;Lightly Oaked;['Rolle', 'Roussanne'];Blanc
113;Gigondas la Cave, La Référence, Gigondas, Rhône, France 2018;Gigondas la Cave;2018;Still;Red;France;Rhône;Gigondas;Dry;Cork;14.50%;Full;Unoaked;['65% Grenache / Garnacha', '10% Mourvèdre', '20% Syrah / Shiraz'];La Référence
