;Title;Producer;Brand;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes
69;Marqués de Cáceres, Gran Reserva, Rioja, Spain 2014;Marqués de Cáceres;Gran Reserva;2014;Still;Red;Spain;Rioja;;Dry;Cork;14.00%;Full;Oaked;['7% Graciano', '8% Grenache / Garnacha', '85% Tempranillo']
70;Lipscomb & Tobella, Finca Tobella Selecció Especial, Priorat 2017;Lipscomb & Tobella;Finca Tobella Selecció Especial;2017;Still;Red;Spain;Catalonia;Gratallops;Dry;Cork;14.90%;Full;;['Cabernet Sauvignon', 'Grenache / Garnacha', 'Carignan / Cariñena']
71;Mas d'en Gil, Vi de Vila Bellmunt, Priorat, Catalonia, 2019;Mas d'en Gil;Vi de Vila Bellmunt;2019;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.00%;Full;;['Cabernet Sauvignon', 'Grenache / Garnacha', 'Carignan / Cariñena']
72;Terres de Vidalba, Vidalba, Priorat, Catalonia, Spain, 2017;Terres de Vidalba;Vidalba;2017;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Syrah / Shiraz', 'Carignan / Cariñena']
73;Ritme Celler, Plaer, Priorat, Catalonia, Spain, 2020;Ritme Celler;Plaer;2020;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;15.00%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
74;Costers del Priorat, Petit Pissarres Tinto, Priorat, 2020;Costers del Priorat;Petit Pissarres Tinto;2020;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
75;Celler Joan Simó, Les Eres, Priorat, Catalonia, Spain, 2016;Celler Joan Simó;Les Eres;2016;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha', 'Carignan / Cariñena']
76;Clos Pachem, Planassos, Gratallops, Catalonia, Spain, 2019;Clos Pachem;Planassos;2019;Still;Red;Spain;Catalonia;Gratallops;Dry;Cork;14.00%;Full;;['Carignan / Cariñena']
77;Álvaro Palacios, La Baixada, Priorat, Catalonia, Spain, 2020;Álvaro Palacios;La Baixada;2020;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;;['Grenache / Garnacha']
78;La Perla del Priorat, Noster Inicial, Priorat, 2018;La Perla del Priorat;Noster Inicial;2018;Still;Red;Spain;;;;;;;;
